gamma = 0.400000, CN Price = 0.107358
M = 10, Price = -0.248573 
M = 20, Price = 0.079077 
M = 40, Price = 0.096527 
M = 80, Price = 0.104636 
M = 160, Price = 0.106719 
M = 320, Price = 0.107346 


gamma = 0.600000, CN Price = 0.104502
M = 10, Price = -0.882009 
M = 20, Price = 0.096393 
M = 40, Price = 0.102405 
M = 80, Price = 0.104537 
M = 160, Price = 0.104502 
M = 320, Price = 0.104502 


gamma = 0.800000, CN Price = 0.103184
M = 10, Price = 3.999268 
M = 20, Price = 0.350941 
M = 40, Price = 0.067157 
M = 80, Price = 0.103076 
M = 160, Price = 0.103184 
M = 320, Price = 0.103184 


gamma = 1.000000, CN Price = 0.102636
M = 10, Price = 202.308964 
M = 20, Price = -0.117450 
M = 40, Price = -0.028959 
M = 80, Price = 0.077795 
M = 160, Price = 0.102636 
M = 320, Price = -99949747290273771131467253210977744715776.000000 
